artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
19SmlbABtI4bXz864MLqOS,Carl Cox,50,770084,"house, schranz, uk tech house",2024-05-21
17dbJyUCrxh4I7iyUrjaHU,Carl Craig,33,87904,"detroit techno, minimal techno, outsider house, techno",2024-05-21
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,67,5905358,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",2024-05-21
3MTk6MUbUmV5X0N04N56JF,Carta,42,23890,big room,2024-05-21
1LOB7jTeEV14pHai6EXSzF,Cash Cash,57,682927,"dance pop, edm, electro house, electropowerpop, pop dance",2024-05-21
3q2dSq7VZnj8TmoJUyRm40,Cat Dealers,54,543023,brazilian edm,2024-05-21
6G7OerKc3eBO9sVkRNopFC,Cat Power,53,741218,"art pop, indie rock, melancholia, singer-songwriter, slowcore",2024-05-21
2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,61,1069057,"modern alternative rock, modern rock, stomp pop, welsh rock",2024-05-21
4Wjf8diP59VmPG7fi4y724,Cedric Gervais,62,103190,"edm, electro house, pop dance, progressive electro house",2024-05-21
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,70,5963060,"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap",2024-05-21
462T0buQ5ScBUQCRpodDRf,Charles Bradley,54,497276,"funk, soul",2024-05-21
25uiPmTg16RbhZWAqwLBy5,Charli XCX,74,3148323,"art pop, candy pop, metropopolis, pop, uk pop",2024-05-21
2rBcvLKWCZs9w1qIWv560v,Charlotte Gainsbourg,43,229673,art pop,2024-05-21
3jNkaOXasoc7RsxdchvEVq,Chase & Status,67,905408,"dancefloor dnb, drum and bass, uk dance",2024-05-21
6ZK2nrW8aCTg8Bid7I7N10,Chelsea Wolfe,46,306486,"dark pop, doomgaze, gaian doom, sacramento indie",2024-05-21
6UcJxoeHWWWyT5HZP064om,Chet Faker,58,408781,"art pop, indietronica",2024-05-21
56dO9zeHKuU5Gvfc2kxHNw,Chevelle,61,1837974,"alternative metal, christian rock, nu metal, post-grunge",2024-05-21
0LklyUMMUhpIjMgYHlV0hN,Chicano Batman,46,225898,"la indie, latinx alternative, psychedelic soul, tropical alternativo",2024-05-21
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,78,12673961,"atl hip hop, hip hop, rap",2024-05-21
